Gene ID	Species	GeneName	Symbol
NM_033049	56667	Homo sapiens	mucin 13, cell surface associated(MUC13)	MUC13
NM_152829	26136	Homo sapiens	testin LIM domain protein(TES)	TES
NM_152827	8724	Homo sapiens	sorting nexin 3(SNX3)	SNX3
NM_033050	56670	Homo sapiens	succinate receptor 1(SUCNR1)	SUCNR1
NM_152826	6642	Homo sapiens	sorting nexin 1(SNX1)	SNX1
NM_145249	122509	Homo sapiens	interferon alpha inducible protein 27 like 1(IFI27L1)	IFI27L1
NM_033054	64005	Homo sapiens	myosin IG(MYO1G)	MYO1G
NM_145247	119392	Homo sapiens	SWI5 dependent homologous recombination repair protein 1(SFR1)	SFR1
NM_033053	63947	Homo sapiens	DMRT like family C1(DMRTC1)	DMRTC1
NM_145246	118924	Homo sapiens	FRA10A associated CGG repeat 1(FRA10AC1)	FRA10AC1
NM_145245	115704	Homo sapiens	ecotropic viral integration site 5 like(EVI5L)	EVI5L
NM_033051	57864	Homo sapiens	solute carrier family 46 member 2(SLC46A2)	SLC46A2
NM_145244	115265	Homo sapiens	DNA damage inducible transcript 4 like(DDIT4L)	DDIT4L
NM_145262	132158	Homo sapiens	glycerate kinase(GLYCTK)	GLYCTK
NM_033033	3888	Homo sapiens	keratin 82(KRT82)	KRT82
NM_145263	132671	Homo sapiens	spermatogenesis associated 18(SPATA18)	SPATA18
NM_033034	85363	Homo sapiens	tripartite motif containing 5(TRIM5)	TRIM5
NM_033035	85480	Homo sapiens	thymic stromal lymphopoietin(TSLP)	TSLP
NM_145265	133957	Homo sapiens	coiled-coil domain containing 127(CCDC127)	CCDC127
NM_033036	89792	Homo sapiens	galactose-3-O-sulfotransferase 3(GAL3ST3)	GAL3ST3
NM_145260	130497	Homo sapiens	odd-skipped related transciption factor 1(OSR1)	OSR1
NM_145261	131118	Homo sapiens	DnaJ heat shock protein family (Hsp40) member C19(DNAJC19)	DNAJC19
NM_001077244	2893	Homo sapiens	glutamate ionotropic receptor AMPA type subunit 4(GRIA4)	GRIA4
NM_001077243	2893	Homo sapiens	glutamate ionotropic receptor AMPA type subunit 4(GRIA4)	GRIA4
NM_001077242	91614	Homo sapiens	DEP domain containing 7(DEPDC7)	DEPDC7
NM_001077241	283130	Homo sapiens	solute carrier family 25 member 45(SLC25A45)	SLC25A45
NM_145259	130399	Homo sapiens	activin A receptor type 1C(ACVR1C)	ACVR1C
NM_145256	126364	Homo sapiens	leucine rich repeat containing 25(LRRC25)	LRRC25
NM_145255	124995	Homo sapiens	mitochondrial ribosomal protein L10(MRPL10)	MRPL10
NM_033043	93659	Homo sapiens	chorionic gonadotropin beta subunit 5(CGB5)	CGB5
NM_145257	126731	Homo sapiens	centriole, cilia and spindle associated protein(CCSAP)	CCSAP
NM_001042370	6738	Homo sapiens	TROVE domain family member 2(TROVE2)	TROVE2
NM_033029	89782	Homo sapiens	leishmanolysin like peptidase(LMLN)	LMLN
NM_033028	585	Homo sapiens	Bardet-Biedl syndrome 4(BBS4)	BBS4
NM_033027	64651	Homo sapiens	cysteine and serine rich nuclear protein 1(CSRNP1)	CSRNP1
NM_033026	27445	Homo sapiens	piccolo presynaptic cytomatrix protein(PCLO)	PCLO
NM_001161546	389333	Homo sapiens	proline rich basic protein 1(PROB1)	PROB1
NM_033025	85360	Homo sapiens	synapse defective Rho GTPase homolog 1(SYDE1)	SYDE1
NM_033023	5154	Homo sapiens	platelet derived growth factor subunit A(PDGFA)	PDGFA
NM_033022	6229	Homo sapiens	ribosomal protein S24(RPS24)	RPS24
NM_033031	85417	Homo sapiens	cyclin B3(CCNB3)	CCNB3
NM_033032	728279	Homo sapiens	keratin associated protein 2-2(KRTAP2-2)	KRTAP2-2
NM_033030	66037	Homo sapiens	boule homolog, RNA binding protein(BOLL)	BOLL
NM_001042371	283871	Homo sapiens	phosphoglycolate phosphatase(PGP)	PGP
NM_001161530	1438	Homo sapiens	colony stimulating factor 2 receptor alpha subunit(CSF2RA)	CSF2RA
NM_033016	5155	Homo sapiens	platelet derived growth factor subunit B(PDGFB)	PDGFB
NM_033015	10922	Homo sapiens	Fas activated serine/threonine kinase(FASTK)	FASTK
NM_033018	5127	Homo sapiens	cyclin dependent kinase 16(CDK16)	CDK16
NM_033017	89122	Homo sapiens	tripartite motif containing 4(TRIM4)	TRIM4
NM_033012	8600	Homo sapiens	tumor necrosis factor superfamily member 11(TNFSF11)	TNFSF11
NM_001161532	1438	Homo sapiens	colony stimulating factor 2 receptor alpha subunit(CSF2RA)	CSF2RA
NM_033011	5327	Homo sapiens	plasminogen activator, tissue type(PLAT)	PLAT
NM_001161531	1438	Homo sapiens	colony stimulating factor 2 receptor alpha subunit(CSF2RA)	CSF2RA
NM_033014	4969	Homo sapiens	osteoglycin(OGN)	OGN
NM_033013	8856	Homo sapiens	nuclear receptor subfamily 1 group I member 2(NR1I2)	NR1I2
NM_001161533	23029	Homo sapiens	RNA binding motif protein 34(RBM34)	RBM34
NM_001040002	4222	Homo sapiens	mesenchyme homeobox 1(MEOX1)	MEOX1
NM_001040001	4301	Homo sapiens	afadin, adherens junction formation factor(AFDN)	AFDN
NM_001040000	4301	Homo sapiens	afadin, adherens junction formation factor(AFDN)	AFDN
NM_033020	51592	Homo sapiens	tripartite motif containing 33(TRIM33)	TRIM33
NM_001161528	401387	Homo sapiens	leucine rich repeats and death domain containing 1(LRRD1)	LRRD1
NM_001161529	1438	Homo sapiens	colony stimulating factor 2 receptor alpha subunit(CSF2RA)	CSF2RA
NM_001042386	9581	Homo sapiens	prolyl endopeptidase-like(PREPL)	PREPL
NM_001042389	26095	Homo sapiens	protein tyrosine phosphatase, non-receptor type 20(PTPN20)	PTPN20
NM_001040007	343637	Homo sapiens	R-spondin 4(RSPO4)	RSPO4
NM_001042388	9989	Homo sapiens	protein phosphatase 4 regulatory subunit 1(PPP4R1)	PPP4R1
NM_001040006	10915	Homo sapiens	transcription elongation regulator 1(TCERG1)	TCERG1
NM_001042383	80254	Homo sapiens	centrosomal protein 63(CEP63)	CEP63
NM_001042385	9581	Homo sapiens	prolyl endopeptidase-like(PREPL)	PREPL
NM_001042384	80254	Homo sapiens	centrosomal protein 63(CEP63)	CEP63
NM_145290	166647	Homo sapiens	adhesion G protein-coupled receptor A3(ADGRA3)	adgra3
NM_033009	57060	Homo sapiens	poly(rC) binding protein 4(PCBP4)	PCBP4
NM_033008	57060	Homo sapiens	poly(rC) binding protein 4(PCBP4)	PCBP4
NM_001161563	23043	Homo sapiens	TRAF2 and NCK interacting kinase(TNIK)	TNIK
NM_001161562	23043	Homo sapiens	TRAF2 and NCK interacting kinase(TNIK)	TNIK
NM_001161561	23043	Homo sapiens	TRAF2 and NCK interacting kinase(TNIK)	TNIK
NM_001161560	23043	Homo sapiens	TRAF2 and NCK interacting kinase(TNIK)	TNIK
NM_145298	200316	Homo sapiens	apolipoprotein B mRNA editing enzyme catalytic subunit 3F(APOBEC3F)	APOBEC3F
NM_145297	199777	Homo sapiens	zinc finger protein 626(ZNF626)	ZNF626
NM_001161566	23043	Homo sapiens	TRAF2 and NCK interacting kinase(TNIK)	TNIK
NM_033001	2969	Homo sapiens	general transcription factor IIi(GTF2I)	GTF2I
NM_145296	199731	Homo sapiens	cell adhesion molecule 4(CADM4)	CADM4
NM_001161565	23043	Homo sapiens	TRAF2 and NCK interacting kinase(TNIK)	TNIK
NM_033000	2969	Homo sapiens	general transcription factor IIi(GTF2I)	GTF2I
NM_145295	199692	Homo sapiens	zinc finger protein 627(ZNF627)	ZNF627
NM_001161564	23043	Homo sapiens	TRAF2 and NCK interacting kinase(TNIK)	TNIK
NM_145294	197335	Homo sapiens	WD repeat domain 90(WDR90)	WDR90
NM_033007	22861	Homo sapiens	NLR family pyrin domain containing 1(NLRP1)	NLRP1
NM_033006	22861	Homo sapiens	NLR family pyrin domain containing 1(NLRP1)	NLRP1
NM_145292	168391	Homo sapiens	polypeptide N-acetylgalactosaminyltransferase-like 5(GALNTL5)	GALNTL5
NM_145291	166793	Homo sapiens	zinc finger and BTB domain containing 49(ZBTB49)	zbtb49
NM_033004	22861	Homo sapiens	NLR family pyrin domain containing 1(NLRP1)	NLRP1
NM_033010	57060	Homo sapiens	poly(rC) binding protein 4(PCBP4)	PCBP4
NM_145288	162979	Homo sapiens	zinc finger protein 296(ZNF296)	ZNF296
NM_001042351	2539	Homo sapiens	glucose-6-phosphate dehydrogenase(G6PD)	G6PD
NM_001042355	1540	Homo sapiens	CYLD lysine 63 deubiquitinase(CYLD)	CYLD
NM_001042353	83541	Homo sapiens	family with sequence similarity 110 member A(FAM110A)	fam110a
NM_001042369	6738	Homo sapiens	TROVE domain family member 2(TROVE2)	TROVE2
NM_001042368	5900	Homo sapiens	ral guanine nucleotide dissociation stimulator(RALGDS)	RALGDS
NM_001001552	93273	Homo sapiens	LEM domain containing 1(LEMD1)	lemd1
NM_001001551	414328	Homo sapiens	IDNK, gluconokinase(IDNK)	IDNK
NM_001001550	2887	Homo sapiens	growth factor receptor bound protein 10(GRB10)	GRB10
NM_001001557	392255	Homo sapiens	growth differentiation factor 6(GDF6)	GDF6
NM_001001556	2585	Homo sapiens	galactokinase 2(GALK2)	GALK2
NM_001001555	2887	Homo sapiens	growth factor receptor bound protein 10(GRB10)	GRB10
NM_001001548	948	Homo sapiens	CD36 molecule(CD36)	CD36
NM_001001547	948	Homo sapiens	CD36 molecule(CD36)	CD36
NM_001001549	2887	Homo sapiens	growth factor receptor bound protein 10(GRB10)	GRB10
NM_033100	92211	Homo sapiens	cadherin related family member 1(CDHR1)	CDHR1
NM_001161500	81856	Homo sapiens	zinc finger protein 611(ZNF611)	ZNF611
NM_033101	85329	Homo sapiens	galectin 12(LGALS12)	LGALS12
NM_001161501	81856	Homo sapiens	zinc finger protein 611(ZNF611)	ZNF611
NM_033102	85414	Homo sapiens	solute carrier family 45 member 3(SLC45A3)	SLC45A3
NM_033103	85415	Homo sapiens	rhophilin Rho GTPase binding protein 2(RHPN2)	RHPN2
NM_033104	85439	Homo sapiens	stonin 2(STON2)	STON2
NM_001161504	8659	Homo sapiens	aldehyde dehydrogenase 4 family member A1(ALDH4A1)	ALDH4A1
NM_033105	85479	Homo sapiens	DnaJ heat shock protein family (Hsp40) member C5 beta(DNAJC5B)	DNAJC5B
NM_033106	85569	Homo sapiens	galanin like peptide(GALP)	GALP
NM_033107	85865	Homo sapiens	GTP binding protein 10(GTPBP10)	GTPBP10
NM_033109	87178	Homo sapiens	polyribonucleotide nucleotidyltransferase 1(PNPT1)	PNPT1
NM_001075099	8631	Homo sapiens	src kinase associated phosphoprotein 1(SKAP1)	SKAP1
NM_001075098	4337	Homo sapiens	molybdenum cofactor synthesis 1(MOCS1)	MOCS1
NM_001001579	5152	Homo sapiens	phosphodiesterase 9A(PDE9A)	PDE9A
NM_152892	222229	Homo sapiens	leucine rich repeats and WD repeat domain containing 1(LRWD1)	LRWD1
NM_001001578	5152	Homo sapiens	phosphodiesterase 9A(PDE9A)	PDE9A
NM_152891	260429	Homo sapiens	protease, serine 33(PRSS33)	PRSS33
NM_001001577	5152	Homo sapiens	phosphodiesterase 9A(PDE9A)	PDE9A
NM_152890	255631	Homo sapiens	collagen type XXIV alpha 1 chain(COL24A1)	COL24A1
NM_001001576	5152	Homo sapiens	phosphodiesterase 9A(PDE9A)	PDE9A
NM_001001575	5152	Homo sapiens	phosphodiesterase 9A(PDE9A)	PDE9A
NM_152896	115426	Homo sapiens	ubiquitin like with PHD and ring finger domains 2(UHRF2)	UHRF2
NM_001001574	5152	Homo sapiens	phosphodiesterase 9A(PDE9A)	PDE9A
NM_001001573	5152	Homo sapiens	phosphodiesterase 9A(PDE9A)	PDE9A
NM_001001572	5152	Homo sapiens	phosphodiesterase 9A(PDE9A)	PDE9A
NM_152899	259307	Homo sapiens	interleukin 4 induced 1(IL4I1)	IL4I1
NM_152897	90203	Homo sapiens	sorting nexin family member 21(SNX21)	SNX21
NM_001001570	5152	Homo sapiens	phosphodiesterase 9A(PDE9A)	PDE9A
NM_001001571	5152	Homo sapiens	phosphodiesterase 9A(PDE9A)	PDE9A
NM_001001568	5152	Homo sapiens	phosphodiesterase 9A(PDE9A)	PDE9A
NM_001001567	5152	Homo sapiens	phosphodiesterase 9A(PDE9A)	PDE9A
NM_001001561	26088	Homo sapiens	golgi associated, gamma adaptin ear containing, ARF binding protein 1(GGA1)	GGA1
NM_001001563	92609	Homo sapiens	translocase of inner mitochondrial membrane 50(TIMM50)	TIMM50
NM_001001569	5152	Homo sapiens	phosphodiesterase 9A(PDE9A)	PDE9A
NM_001161527	79155	Homo sapiens	TNFAIP3 interacting protein 2(TNIP2)	TNIP2
NM_001161520	10466	Homo sapiens	component of oligomeric golgi complex 5(COG5)	COG5
NM_001161521	11275	Homo sapiens	kelch like family member 2(KLHL2)	KLHL2
NM_001161522	11275	Homo sapiens	kelch like family member 2(KLHL2)	KLHL2
NM_001001560	26088	Homo sapiens	golgi associated, gamma adaptin ear containing, ARF binding protein 1(GGA1)	GGA1
NM_152879	8527	Homo sapiens	diacylglycerol kinase delta(DGKD)	DGKD
NM_152874	355	Homo sapiens	Fas cell surface death receptor(FAS)	FAS
NM_152871	355	Homo sapiens	Fas cell surface death receptor(FAS)	FAS
NM_152872	355	Homo sapiens	Fas cell surface death receptor(FAS)	FAS
NM_001077349	91120	Homo sapiens	zinc finger protein 682(ZNF682)	ZNF682
NM_001001503	4731	Homo sapiens	NADH:ubiquinone oxidoreductase subunit V3(NDUFV3)	NDUFV3
NM_152888	169044	Homo sapiens	collagen type XXII alpha 1 chain(COL22A1)	COL22A1
NM_152889	166012	Homo sapiens	carbohydrate sulfotransferase 13(CHST13)	CHST13
NM_152882	5754	Homo sapiens	protein tyrosine kinase 7 (inactive)(PTK7)	PTK7
NM_001077350	8131	Homo sapiens	NPR3 like, GATOR1 complex subunit(NPRL3)	NPRL3
NM_152880	5754	Homo sapiens	protein tyrosine kinase 7 (inactive)(PTK7)	PTK7
NM_001001502	6620	Homo sapiens	synuclein beta(SNCB)	SNCB
NM_152881	5754	Homo sapiens	protein tyrosine kinase 7 (inactive)(PTK7)	PTK7
NM_001077351	55147	Homo sapiens	RNA binding motif protein 23(RBM23)	RBM23
NM_001077352	55147	Homo sapiens	RNA binding motif protein 23(RBM23)	RBM23
NM_001077358	50940	Homo sapiens	phosphodiesterase 11A(PDE11A)	PDE11A
NM_152855	3543	Homo sapiens	immunoglobulin lambda like polypeptide 1(IGLL1)	IGLL1
NM_004888	9550	Homo sapiens	ATPase H+ transporting V1 subunit G1(ATP6V1G1)	ATP6V1G1
NM_152856	8241	Homo sapiens	RNA binding motif protein 10(RBM10)	RBM10
NM_004889	9551	Homo sapiens	ATP synthase, H+ transporting, mitochondrial Fo complex subunit F2(ATP5J2)	ATP5J2
NM_152854	958	Homo sapiens	CD40 molecule(CD40)	CD40
NM_004884	9543	Homo sapiens	immunoglobulin superfamily DCC subclass member 3(IGDCC3)	IGDCC3
NM_004885	10886	Homo sapiens	neuropeptide FF receptor 2(NPFFR2)	NPFFR2
NM_004886	9546	Homo sapiens	amyloid beta precursor protein binding family A member 3(APBA3)	APBA3
NM_152857	9589	Homo sapiens	Wilms tumor 1 associated protein(WTAP)	WTAP
NM_004887	9547	Homo sapiens	C-X-C motif chemokine ligand 14(CXCL14)	CXCL14
NM_152858	9589	Homo sapiens	Wilms tumor 1 associated protein(WTAP)	WTAP
NM_152851	64231	Homo sapiens	membrane spanning 4-domains A6A(MS4A6A)	MS4A6A
NM_152852	64231	Homo sapiens	membrane spanning 4-domains A6A(MS4A6A)	MS4A6A
NM_152850	84720	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class O(PIGO)	PIGO
NM_004892	9554	Homo sapiens	SEC22 homolog B, vesicle trafficking protein (gene/pseudogene)(SEC22B)	SEC22B
NM_004891	9553	Homo sapiens	mitochondrial ribosomal protein L33(MRPL33)	MRPL33
NM_004894	9556	Homo sapiens	chromosome 14 open reading frame 2(C14orf2)	C14orf2
NM_004893	9555	Homo sapiens	H2A histone family member Y(H2AFY)	h2afy
NM_004890	9552	Homo sapiens	sperm associated antigen 7(SPAG7)	SPAG7
NM_152864	128414	Homo sapiens	Na+/K+ transporting ATPase interacting 4(NKAIN4)	nkain4
NM_004899	9577	Homo sapiens	brain and reproductive organ-expressed (TNFRSF1A modulator)(BRE)	BRE
NM_152868	3761	Homo sapiens	potassium voltage-gated channel subfamily J member 4(KCNJ4)	KCNJ4
NM_004897	9562	Homo sapiens	multiple inositol-polyphosphate phosphatase 1(MINPP1)	MINPP1
NM_152869	9104	Homo sapiens	regucalcin(RGN)	RGN
NM_004898	9575	Homo sapiens	clock circadian regulator(CLOCK)	CLOCK
NM_004895	114548	Homo sapiens	NLR family pyrin domain containing 3(NLRP3)	NLRP3
NM_004896	9559	Homo sapiens	VPS26, retromer complex component A(VPS26A)	VPS26A
NM_001001521	7360	Homo sapiens	UDP-glucose pyrophosphorylase 2(UGP2)	UGP2
NM_001001522	6876	Homo sapiens	transgelin(TAGLN)	TAGLN
NM_001001523	6097	Homo sapiens	RAR related orphan receptor C(RORC)	rorc
NM_001001524	53345	Homo sapiens	transmembrane 6 superfamily member 2(TM6SF2)	TM6SF2
NM_152860	121340	Homo sapiens	Sp7 transcription factor(SP7)	SP7
NM_152862	10109	Homo sapiens	actin related protein 2/3 complex subunit 2(ARPC2)	ARPC2
NM_001001520	84717	Homo sapiens	hepatoma-derived growth factor-related protein 2(HDGFRP2)	HDGFRP2
NM_004871	9527	Homo sapiens	golgi SNAP receptor complex member 1(GOSR1)	gosr1
NM_004872	9528	Homo sapiens	transmembrane protein 59(TMEM59)	TMEM59
NM_004870	9526	Homo sapiens	mannose-P-dolichol utilization defect 1(MPDU1)	MPDU1
NM_004865	9519	Homo sapiens	TATA-box binding protein like 1(TBPL1)	TBPL1
NM_004864	9518	Homo sapiens	growth differentiation factor 15(GDF15)	GDF15
NM_004863	9517	Homo sapiens	serine palmitoyltransferase long chain base subunit 2(SPTLC2)	SPTLC2
NM_004862	9516	Homo sapiens	lipopolysaccharide induced TNF factor(LITAF)	LITAF
NM_004869	9525	Homo sapiens	vacuolar protein sorting 4 homolog B(VPS4B)	VPS4B
NM_004867	9452	Homo sapiens	integral membrane protein 2A(ITM2A)	ITM2A
NM_004866	9522	Homo sapiens	secretory carrier membrane protein 1(SCAMP1)	SCAMP1
NM_004881	9540	Homo sapiens	tumor protein p53 inducible protein 3(TP53I3)	TP53I3
NM_004882	9541	Homo sapiens	corepressor interacting with RBPJ, 1(CIR1)	CIR1
NM_004883	9542	Homo sapiens	neuregulin 2(NRG2)	NRG2
NM_004874	9530	Homo sapiens	BCL2 associated athanogene 4(BAG4)	bag4
NM_004873	9529	Homo sapiens	BCL2 associated athanogene 5(BAG5)	BAG5
NM_004875	9533	Homo sapiens	RNA polymerase I subunit C(POLR1C)	POLR1C
NM_004878	9536	Homo sapiens	prostaglandin E synthase(PTGES)	PTGES
NM_004877	9535	Homo sapiens	glia maturation factor gamma(GMFG)	GMFG
NM_004879	9538	Homo sapiens	EI24, autophagy associated transmembrane protein(EI24)	EI24
NM_004850	9475	Homo sapiens	Rho associated coiled-coil containing protein kinase 2(ROCK2)	ROCK2
NM_001099921	139604	Homo sapiens	MAGE family member B16(MAGEB16)	MAGEB16
NM_004849	9474	Homo sapiens	autophagy related 5(ATG5)	ATG5
NM_004848	9473	Homo sapiens	thymocyte selection associated family member 2(THEMIS2)	THEMIS2
NM_004847	199	Homo sapiens	allograft inflammatory factor 1(AIF1)	AIF1
NM_004846	9470	Homo sapiens	eukaryotic translation initiation factor 4E family member 2(EIF4E2)	EIF4E2
NM_004845	9468	Homo sapiens	phosphate cytidylyltransferase 1, choline, beta(PCYT1B)	PCYT1B
NM_004844	9467	Homo sapiens	SH3 domain binding protein 5(SH3BP5)	SH3BP5
NM_004843	9466	Homo sapiens	interleukin 27 receptor subunit alpha(IL27RA)	IL27RA
NM_004842	9465	Homo sapiens	A-kinase anchoring protein 7(AKAP7)	AKAP7
NM_004841	9462	Homo sapiens	RAS protein activator like 2(RASAL2)	RASAL2
NM_004840	9459	Homo sapiens	Rac/Cdc42 guanine nucleotide exchange factor 6(ARHGEF6)	ARHGEF6
NM_004860	9513	Homo sapiens	FMR1 autosomal homolog 2(FXR2)	FXR2
NM_004861	9514	Homo sapiens	galactose-3-O-sulfotransferase 1(GAL3ST1)	GAL3ST1
NM_175039	27090	Homo sapiens	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4(ST6GALNAC4)	ST6GALNAC4
NM_175038	1272	Homo sapiens	contactin 1(CNTN1)	CNTN1
NM_175040	27090	Homo sapiens	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4(ST6GALNAC4)	ST6GALNAC4
NM_004859	1213	Homo sapiens	clathrin heavy chain(CLTC)	CLTC
NM_004856	9493	Homo sapiens	kinesin family member 23(KIF23)	KIF23
NM_004855	9488	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class B(PIGB)	PIGB
NM_004858	9498	Homo sapiens	solute carrier family 4 member 8(SLC4A8)	SLC4A8
NM_004857	9495	Homo sapiens	A-kinase anchoring protein 5(AKAP5)	AKAP5
NM_004852	9480	Homo sapiens	one cut homeobox 2(ONECUT2)	onecut2
NM_004851	9476	Homo sapiens	napsin A aspartic peptidase(NAPSA)	NAPSA
NM_004854	9486	Homo sapiens	carbohydrate sulfotransferase 10(CHST10)	CHST10
NM_004853	9482	Homo sapiens	syntaxin 8(STX8)	STX8
NM_001159597	26751	Homo sapiens	SH3 and SYLF domain containing 1(SH3YL1)	SH3YL1
NM_001159596	54841	Homo sapiens	basic, immunoglobulin-like variable motif containing(BIVM)	BIVM
NM_004820	9420	Homo sapiens	cytochrome P450 family 7 subfamily B member 1(CYP7B1)	CYP7B1
NM_004821	9421	Homo sapiens	heart and neural crest derivatives expressed 1(HAND1)	HAND1
NM_001145727	160492	Homo sapiens	lamin tail domain containing 1(LMNTD1)	LMNTD1
NM_001145724	9454	Homo sapiens	homer scaffolding protein 3(HOMER3)	HOMER3
NM_001145725	55646	Homo sapiens	Ly1 antibody reactive(LYAR)	LYAR
NM_004824	9425	Homo sapiens	chromodomain Y-like(CDYL)	CDYL
NM_004822	9423	Homo sapiens	netrin 1(NTN1)	NTN1
NM_001145728	160492	Homo sapiens	lamin tail domain containing 1(LMNTD1)	LMNTD1
NM_004823	9424	Homo sapiens	potassium two pore domain channel subfamily K member 6(KCNK6)	KCNK6
NM_001145729	160492	Homo sapiens	lamin tail domain containing 1(LMNTD1)	LMNTD1
NM_004829	9437	Homo sapiens	natural cytotoxicity triggering receptor 1(NCR1)	NCR1
NM_004826	9427	Homo sapiens	endothelin converting enzyme like 1(ECEL1)	ECEL1
NM_004827	9429	Homo sapiens	ATP binding cassette subfamily G member 2 (Junior blood group)(ABCG2)	ABCG2
NM_001145722	9454	Homo sapiens	homer scaffolding protein 3(HOMER3)	HOMER3
NM_001145720	728116	Homo sapiens	zinc finger and BTB domain containing 8B(ZBTB8B)	ZBTB8B
NM_001145721	9454	Homo sapiens	homer scaffolding protein 3(HOMER3)	HOMER3
NM_001001582	5152	Homo sapiens	phosphodiesterase 9A(PDE9A)	PDE9A
NM_001001581	5152	Homo sapiens	phosphodiesterase 9A(PDE9A)	PDE9A
NM_001001580	5152	Homo sapiens	phosphodiesterase 9A(PDE9A)	PDE9A
NM_001145713	10055	Homo sapiens	SUMO1 activating enzyme subunit 1(SAE1)	SAE1
NM_001145714	10055	Homo sapiens	SUMO1 activating enzyme subunit 1(SAE1)	SAE1
NM_004830	9439	Homo sapiens	mediator complex subunit 23(MED23)	MED23
NM_004831	9441	Homo sapiens	mediator complex subunit 26(MED26)	MED26
NM_001145715	402569	Homo sapiens	karyopherin subunit alpha 7(KPNA7)	KPNA7
NM_001145716	285848	Homo sapiens	patatin like phospholipase domain containing 1(PNPLA1)	PNPLA1
NM_004832	9446	Homo sapiens	glutathione S-transferase omega 1(GSTO1)	GSTO1
NM_001145717	285848	Homo sapiens	patatin like phospholipase domain containing 1(PNPLA1)	PNPLA1
NM_004833	9447	Homo sapiens	absent in melanoma 2(AIM2)	AIM2
NM_004834	9448	Homo sapiens	mitogen-activated protein kinase kinase kinase kinase 4(MAP4K4)	map4k4
NM_001145718	643311	Homo sapiens	cancer/testis antigen family 47, member B1(CT47B1)	CT47B1
NM_004835	185	Homo sapiens	angiotensin II receptor type 1(AGTR1)	AGTR1
NM_001145719	387694	Homo sapiens	SH2 domain containing 4B(SH2D4B)	SH2D4B
NM_004836	9451	Homo sapiens	eukaryotic translation initiation factor 2 alpha kinase 3(EIF2AK3)	EIF2AK3
NM_001001585	5152	Homo sapiens	phosphodiesterase 9A(PDE9A)	PDE9A
NM_004837	9453	Homo sapiens	geranylgeranyl diphosphate synthase 1(GGPS1)	GGPS1
NM_004838	9454	Homo sapiens	homer scaffolding protein 3(HOMER3)	HOMER3
NM_001001583	5152	Homo sapiens	phosphodiesterase 9A(PDE9A)	PDE9A
NM_004839	9455	Homo sapiens	homer scaffolding protein 2(HOMER2)	HOMER2
NM_001001584	5152	Homo sapiens	phosphodiesterase 9A(PDE9A)	PDE9A
NM_001145710	375190	Homo sapiens	family with sequence similarity 228 member B(FAM228B)	FAM228B
NM_001145712	389493	Homo sapiens	nuclear protein 2, transcriptional regulator(NUPR2)	NUPR2
NM_001159575	6337	Homo sapiens	sodium channel epithelial 1 alpha subunit(SCNN1A)	SCNN1A
NM_004802	9381	Homo sapiens	otoferlin(OTOF)	OTOF
NM_004803	9389	Homo sapiens	solute carrier family 22 member 14(SLC22A14)	SLC22A14
NM_004800	9375	Homo sapiens	transmembrane 9 superfamily member 2(TM9SF2)	TM9SF2
NM_004801	9378	Homo sapiens	neurexin 1(NRXN1)	NRXN1
NM_004808	9397	Homo sapiens	N-myristoyltransferase 2(NMT2)	NMT2
NM_004809	9399	Homo sapiens	stomatin like 1(STOML1)	STOML1
NM_001159576	6337	Homo sapiens	sodium channel epithelial 1 alpha subunit(SCNN1A)	SCNN1A
NM_004807	9394	Homo sapiens	heparan sulfate 6-O-sulfotransferase 1(HS6ST1)	HS6ST1
NM_004804	9391	Homo sapiens	cytosolic iron-sulfur assembly component 1(CIAO1)	CIAO1
NM_004805	5433	Homo sapiens	RNA polymerase II subunit D(POLR2D)	POLR2D
NM_004811	9404	Homo sapiens	leupaxin(LPXN)	LPXN
NM_004813	9409	Homo sapiens	peroxisomal biogenesis factor 16(PEX16)	PEX16
NM_004814	9410	Homo sapiens	small nuclear ribonucleoprotein U5 subunit 40(SNRNP40)	SNRNP40
NM_004810	9402	Homo sapiens	GRB2-related adaptor protein 2(GRAP2)	GRAP2
NM_004819	8189	Homo sapiens	symplekin(SYMPK)	SYMPK
NM_004815	9411	Homo sapiens	Rho GTPase activating protein 29(ARHGAP29)	ARHGAP29
NM_004816	9413	Homo sapiens	family with sequence similarity 189 member A2(FAM189A2)	FAM189A2
NM_004817	9414	Homo sapiens	tight junction protein 2(TJP2)	TJP2
NM_001159587	135228	Homo sapiens	CD109 molecule(CD109)	CD109
NM_004818	9416	Homo sapiens	DEAD-box helicase 23(DDX23)	DDX23
NM_001159588	135228	Homo sapiens	CD109 molecule(CD109)	CD109
NM_001145145	6510	Homo sapiens	solute carrier family 1 member 5(SLC1A5)	slc1a5
NM_001145144	6510	Homo sapiens	solute carrier family 1 member 5(SLC1A5)	slc1a5
NM_001135639	1258	Homo sapiens	cyclic nucleotide gated channel beta 1(CNGB1)	CNGB1
NM_001135637	8394	Homo sapiens	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha(PIP5K1A)	PIP5K1A
NM_001145149	6845	Homo sapiens	vesicle associated membrane protein 7(VAMP7)	VAMP7
